,Hospital Code,Name Of Hospital,Address of Hospital,current address,Phone Number,Class Recommended,Notification Number,Notification Date,Valid Upto,latitude,longitude
0,411001,DESUN HOSPITAL & HEART INSTITUTE,"DESUN MORE ,KASBA GOL PARK,EM BYPASS, KOLKATA-107., Mail ID-
desun@desunhospital.com","DESUN MORE ,KASBA GOL PARK,EM BYPASS, KOLKATA-700107.",(033)2443-4567,MULTI SPECIALITY HOSPITAL,73-F(MED)WB,4/9/2019,31/03/2023,22.48642,88.393501
1,411002,THE CALCUTTA MEDICAL RESEARCH INSTITUTE,"7/2,DH RD,KOLKATA-
700027, Mail ID-
info@cmrihospitas.co.in","7/2,DH RD,KOLKATA- 700027",033-2456-7700,MULTI SPECIALITY HOSPITAL,73-F(MED)WB,4/9/2019,31/03/2023,22.52283,88.32501
2,411003,NIGHTINGALE DIAGNOSTIC & MEDICARE,"11, SHAKESPEARE SARANI, KOLKATA-700071,
Mail ID- feedback@nightingalehospital. com","11, SHAKESPEARE SARANI, KOLKATA-700071",033-2282-7263,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.54458,88.35696
3,411006,MALDA NURSING HOME,"B.G. ROAD, MAKDUMPUR, MALDA, Mail ID-
mnhmalda@gmail.com","B.G. ROAD, MAKDUMPUR, MALDA",9775996944,MULTI SPECIALITY HOSPITAL,48-F(MED)WB,9/7/2019,31/03/2023,24.989281,88.146011
4,411007,B.M. BIRLA HEART RESEARCH CENTRE,"1/1, NATIONAL LIBRARY AVENUE, KOLKATA-27,
Mail ID- bmbhrc@birlaheart.org","1/1, NATIONAL LIBRARY AVENUE, KOLKATA-700027",(033)2456-7890,MULTI SPECIALITY HOSPITAL,73-F(MED)WB,4/9/2019,31/03/2023,22.533291,88.327507
5,411008,R N TAGORE INTERNATIONAL INSTITUTE OF CARDIAC SCIENCES,"124,MUKUNDAPUR, EM BYPASS,KOLKATA-700099,
Mail ID- partha.bhattacharjee@narayan ahealth.org,sushanta.sahoo@n arayanahealth.org,aninda.ghos hal@narayanahealth.org,raju.d as@narayanahealth.org","124,MUKUNDAPUR, EM BYPASS,KOLKATA-700099","18602080208/03
3-71222222",MULTI SPECIALITY HOSPITAL,117-F (MED)WB,20/12/2019,31/03/2023,22.49223,88.39662
6,411010,MEDICA NORTH BENGAL CLINIC,"MEGHNAD SAHA SARANI,PRADHAN NAGAR, SILIGURI-734003,
Mail ID-contactus@mnbc.in","MEGHNAD SAHA SARANI,PRADHAN NAGAR, SILIGURI-734003",3532518667,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,26.73142,88.41547
7,411011,RUBY GENERAL HOSPITAL,"KASBA GOL PARK, EM BYEPASS, KOLKATA- 700107, Mail ID-
corporatehelpdesk@rubyhospit al.com","KASBA GOL PARK, EM BYEPASS, KOLKATA- 700107",3339871800,MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.48642,88.3935
8,411012,B.P.PODDAR HOSPITAL AND MEDICAL RESEARCH LTD.,"71/1 HUMAYUN KABIR SARANI, BLOCK-G, NEW ALIPORE,  KOLKATA- 700053, Mail ID-
corpbillingbpph@gmail.com","71/1 HUMAYUN KABIR SARANI, BLOCK-G, NEW ALIPORE,  KOLKATA- 700053","2445890107/402
2",MULTI SPECIALITY HOSPITAL,94-F(MED)WB,13/11/2019,31/03/2023,22.51432,88.32867
9,411013,CHARNOCK HOSPITALS PVT. LTD.,"JUNCTION OF VIP ROAD &AMP NEW TOWN APPROACH ROAD, TEGHORIA,KOLKATA- 700059, Mail ID-
billing@charnockhospital.com","JUNCTION OF VIP ROAD &AMP NEW TOWN APPROACH ROAD, TEGHORIA,KOLKATA- 700059",9903141933,MULTI SPECIALITY HOSPITAL,60-F(MED)WB,19/05/2020,31/03/2023,22.62644,88.43335
